iter	RMSE
730	753481.2748
731	753356.0286
732	753209.0038
733	753081.2046
734	752973.7489
735	752878.0001
736	752726.7277
737	752588.6639
738	752517.852
739	752440.9875
740	752240.269
741	752175.4263
742	752091.8333
743	751938.1198
744	751862.6607
745	751806.0157
746	751656.9133
747	751600.9558
748	751508.1649
749	751215.9567
750	751022.0212
751	750909.5943
752	750856.4106
753	750721.929
754	750702.7484
755	750636.4956
756	750495.6628
757	750463.4613
758	750359.5273
759	750256.9496
760	750208.8498
761	750079.6608
762	750007.2889
763	749910.183
764	749885.9823
765	749696.8951
766	749573.2418
767	749504.015
768	749418.7398
769	749337.3913
770	749264.8669
771	749169.7001
772	749019.6523
773	748903.8372
774	748829.1204
775	748778.2093
776	748661.8106
777	748486.2118
778	748356.6389
779	748305.1141
780	748225.2826
781	748029.5273
782	747841.9072
783	747736.2455
784	747699.4533
785	747593.3302
786	747501.4983
787	747451.5136
788	747317.2891
789	747182.4324
790	747083.1232
791	746952.5335
792	746850.2825
793	746751.0081
794	746504.9724
795	746431.9372
796	746372.6841
797	746218.915
798	746131.5389
799	746037.8855
800	745895.9117
801	745687.9858
802	745574.7325
803	745453.3467
804	745362.4179
805	745193.6939
806	745058.4795
807	744931.051
808	744703.2739
809	744548.4275
810	744409.6107
811	744343.2608
812	744198.6384
813	744196.9239
814	744092.6427
815	743950.7911
816	743894.763
817	743835.2486
818	743653.553
819	743498.0295
820	743390.7418
821	743380.6472
822	743047.4385
823	743018.6158
824	742935.3462
825	742834.5887
826	742811.1753
827	742703.7647
828	742448.1348
829	742379.5791
830	742216.0806
831	742160.6764
832	742121.4577
833	741958.2467
834	741855.0576
835	741744.405
836	741609.5465
837	741570.1858
838	741521.6412
839	741370.0875
840	741138.5348
841	741030.5992
842	740856.3643
843	740853.0056
844	740698.0848
845	740610.4695
846	740520.1245
847	740483.653
848	740412.2139
849	740367.2378
850	740298.395
851	740118.9232
852	740028.9434
853	739886.89
854	739872.3597
855	739696.8958
856	739561.3462
857	739522.328
858	739403.151
859	739355.8016
860	739250.1169
861	738953.2165
862	738860.4029
863	738734.5237
864	738594.1333
865	738480.0379
866	738418.8234
867	738278.5283
868	738081.5088
869	737947.2493
870	737794.6537
871	737542.0308
872	737449.3125
873	737399.5318
874	737346.8533
875	737190.1034
876	737188.6357
877	737085.4775
878	737005.4641
879	736894.1004
880	736828.5744
881	736747.0196
882	736526.1355
883	736432.9302
884	736367.4738
885	736259.051
886	736138.9536
887	736084.0223
888	735978.6656
889	735893.05
890	735830.7972
891	735752.1395
892	735666.5695
893	735537.7988
894	735439.1867
895	735420.4368
896	735334.6157
897	735236.626
898	735072.1759
899	734968.0053
900	734834.0661
901	734804.9032
902	734663.5929
903	734571.4465
904	734472.0759
905	734398.0076
906	734313.4713
907	734225.4002
908	734139.0965
909	734054.3566
910	733947.7373
911	733903.8737
912	733699.1956
